Date,IBOV,PTAX
2020-09-21,96991.0,5.389800071716309
2020-09-22,97294.0,5.412600040435791
2020-09-23,95735.0,5.469900131225586
2020-09-24,97012.0,5.592400074005127
2020-09-25,96999.0,5.508399963378906
2020-09-28,94666.0,5.561100006103516
2020-09-29,93580.0,5.660200119018555
2020-09-30,94603.0,5.630499839782715
2020-10-01,95479.0,5.608399868011475
2020-10-02,94016.0,5.642000198364258
2020-10-05,96089.0,5.681600093841553
2020-10-06,95615.0,5.573400020599365
2020-10-07,95526.0,5.593800067901611
2020-10-08,97920.0,5.611299991607666
2020-10-09,97483.0,5.598599910736084
2020-10-12,,5.5289998054504395
2020-10-13,98503.0,5.529699802398682
2020-10-14,99334.0,5.56850004196167
2020-10-15,99054.0,5.5904998779296875
2020-10-16,98309.0,5.611199855804443
2020-10-19,98658.0,5.644800186157227
2020-10-20,100540.0,5.605599880218506
2020-10-21,100552.0,5.6041998863220215
2020-10-22,101918.0,5.607800006866455
2020-10-23,101260.0,5.591300010681152
2020-10-26,101017.0,5.616199970245361
2020-10-27,99606.0,5.622700214385986
2020-10-28,95369.0,5.7052001953125
2020-10-29,96582.0,5.744900226593018
2020-10-30,93952.0,5.7778000831604
2020-11-02,,5.741399765014648
2020-11-03,95587.0,5.741099834442139
2020-11-04,97811.0,5.754899978637695
2020-11-05,100774.0,5.663000106811523
2020-11-06,100799.0,5.523399829864502
2020-11-09,103913.0,5.36269998550415
2020-11-10,105351.0,5.384699821472168
2020-11-11,104532.0,5.413899898529053
2020-11-12,102175.0,5.389999866485596
2020-11-13,104512.0,5.456699848175049
2020-11-16,106430.0,5.456999778747559
2020-11-17,107229.0,5.414899826049805
2020-11-18,106483.0,5.327199935913086
2020-11-19,106517.0,5.361700057983398
2020-11-20,,5.304500102996826
2020-11-23,107379.0,5.3780999183654785
2020-11-24,109786.0,5.4405999183654785
2020-11-25,110133.0,5.372600078582764
2020-11-26,110227.0,5.3225998878479
2020-11-27,110575.0,5.335299968719482
2020-11-30,108888.0,5.34250020980835
2020-12-01,111335.0,5.331099987030029
2020-12-02,111814.0,5.204899787902832
2020-12-03,112919.0,5.216300010681152
2020-12-04,113682.0,5.151000022888184
2020-12-07,113625.0,5.154399871826172
2020-12-08,113571.0,5.098299980163574
2020-12-09,112722.0,5.119699954986572
2020-12-10,114992.0,5.1697001457214355
2020-12-11,115323.0,5.024199962615967
2020-12-14,114975.0,5.064199924468994
2020-12-15,116146.0,5.117700099945068
2020-12-16,117947.0,5.078884124755859
2020-12-17,118157.0,5.083199977874756
2020-12-18,117679.0,5.0569000244140625
2020-12-21,116016.0,5.100599765777588
2020-12-22,116348.0,5.118937969207764
2020-12-23,117857.0,5.1566548347473145
2020-12-24,,5.2153000831604
2020-12-25,,5.2153000831604
2020-12-28,119051.0,5.2153000831604
2020-12-29,119475.0,5.2459001541137695
2020-12-30,119306.0,5.208600044250488
2020-12-31,,5.190838813781738
2021-01-01,,5.1921000480651855
2021-01-04,118558.0,5.19189977645874
2021-01-05,119223.0,5.295300006866455
2021-01-06,119851.0,5.28410005569458
2021-01-07,121956.0,5.312900066375732
2021-01-08,125077.0,5.40880012512207
2021-01-11,122807.0,5.4121880531311035
2021-01-12,123998.0,5.48769998550415
2021-01-13,122040.0,5.321400165557861
2021-01-14,123481.0,5.297500133514404
2021-01-15,120502.0,5.195799827575684
2021-01-18,121242.0,5.291299819946289
2021-01-19,120673.0,5.2947998046875
2021-01-20,119708.0,5.3566999435424805
2021-01-21,118443.0,5.290500164031982
2021-01-22,117172.0,5.3495001792907715
2021-01-25,,5.4654998779296875
2021-01-26,116464.0,5.4654998779296875
2021-01-27,115882.0,5.353799819946289
2021-01-28,119314.0,5.412600040435791
2021-01-29,116007.0,5.437989234924316
2021-02-01,117365.0,5.4608001708984375
2021-02-02,118234.0,5.430500030517578
2021-02-03,119725.0,5.3668999671936035
2021-02-04,119261.0,5.3520002365112305
2021-02-05,119925.0,5.4257001876831055
2021-02-08,119516.0,5.369200229644775
2021-02-09,119429.0,5.364299774169922
2021-02-10,118430.0,5.376699924468994
2021-02-11,119235.0,5.384900093078613
2021-02-12,119116.0,5.3653998374938965
2021-02-15,,5.368599891662598
2021-02-16,,5.368000030517578
2021-02-17,120391.0,5.3694000244140625
2021-02-18,119140.0,5.409800052642822
2021-02-19,118748.0,5.42579984664917
2021-02-22,112668.0,5.38070011138916
2021-02-23,115227.0,5.463399887084961
2021-02-24,115668.0,5.439599990844727
2021-02-25,112256.0,5.402964115142822
2021-02-26,110035.0,5.528025150299072
2021-03-01,110335.0,5.597599983215332
2021-03-02,111540.0,5.640699863433838
2021-03-03,111184.0,5.675099849700928
2021-03-04,112690.0,5.617499828338623
2021-03-05,115202.0,5.668300151824951
2021-03-08,110612.0,5.689499855041504
2021-03-09,111331.0,5.874599933624268
2021-03-10,112776.0,5.801499843597412
2021-03-11,114984.0,5.67110013961792
2021-03-12,114160.0,5.534800052642822
2021-03-15,114851.0,5.4951558113098145
2021-03-16,114019.0,5.614500045776367
2021-03-17,116549.0,5.6234002113342285
2021-03-18,114835.0,5.583099842071533
2021-03-19,116222.0,5.558700084686279
2021-03-22,114979.0,5.493563175201416
2021-03-23,113262.0,5.505499839782715
2021-03-24,112064.0,5.520400047302246
2021-03-25,113750.0,5.61959981918335
2021-03-26,114781.0,5.648399829864502
2021-03-29,115419.0,5.752399921417236
2021-03-30,116850.0,5.780799865722656
2021-03-31,116634.0,5.771599769592285
2021-04-01,115253.0,5.63129997253418
2021-04-02,,5.707399845123291
2021-04-05,117518.0,5.710599899291992
2021-04-06,117499.0,5.662700176239014
2021-04-07,117624.0,5.593200206756592
2021-04-08,118313.0,5.612100124359131
2021-04-09,117670.0,5.5665998458862305
2021-04-12,118812.0,5.679299831390381
2021-04-13,119297.0,5.7322001457214355
2021-04-14,120295.0,5.716300010681152
2021-04-15,120701.0,5.652900218963623
2021-04-16,121114.0,5.614999771118164
2021-04-19,120934.0,5.5858001708984375
2021-04-20,120062.0,5.545300006866455
2021-04-21,,5.56790018081665
2021-04-22,119371.0,5.56790018081665
2021-04-23,120530.0,5.44320011138916
2021-04-26,120595.0,5.477200031280518
2021-04-27,119388.0,5.435299873352051
2021-04-28,121053.0,5.451000213623047
2021-04-29,120066.0,5.341400146484375
2021-04-30,118894.0,5.336400032043457
2021-05-03,119209.0,5.439700126647949
2021-05-04,117712.0,5.4380998611450195
2021-05-05,119564.0,5.442599773406982
2021-05-06,119921.0,5.352700233459473
2021-05-07,122038.0,5.273430824279785
2021-05-10,121909.0,5.235499858856201
2021-05-11,122964.0,5.2221999168396
2021-05-12,119710.0,5.221199989318848
2021-05-13,120706.0,5.303100109100342
2021-05-14,121881.0,5.307700157165527
2021-05-17,122938.0,5.269499778747559
2021-05-18,122980.0,5.271500110626221
2021-05-19,122636.0,5.259500026702881
2021-05-20,122701.0,5.308000087738037
2021-05-21,122592.0,5.281300067901611
2021-05-24,124032.0,5.361800193786621
2021-05-25,122988.0,5.31850004196167
2021-05-26,123989.0,5.330699920654297
2021-05-27,124367.0,5.310500144958496
2021-05-28,125561.0,5.2382001876831055
2021-05-31,126216.0,5.23799991607666
2021-06-01,128267.0,5.216599941253662
2021-06-02,129601.0,5.149700164794922
2021-06-03,,5.07450008392334
2021-06-04,130126.0,5.076300144195557
2021-06-07,130776.0,5.044600009918213
2021-06-08,129787.0,5.045199871063232
2021-06-09,129907.0,5.034900188446045
2021-06-10,130076.0,5.061500072479248
2021-06-11,129441.0,5.054500102996826
2021-06-14,130208.0,5.117000102996826
2021-06-15,130091.0,5.058599948883057
2021-06-16,129259.0,5.043799877166748
2021-06-17,128057.0,5.054299831390381
2021-06-18,128405.0,5.007400035858154
2021-06-21,129265.0,5.0960001945495605
2021-06-22,128767.0,5.0131001472473145
2021-06-23,128428.0,4.957099914550781
2021-06-24,129514.0,4.965199947357178
2021-06-25,127256.0,4.912700176239014
2021-06-28,127429.0,4.91540002822876
2021-06-29,127327.0,4.924799919128418
2021-06-30,126802.0,4.955100059509277
